Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 56.95     40.50    40.50   396698     0.00     0.00  PeakList::filterWeakPeaks(Config const*, float, int, bool)
 10.14     47.71     7.21   342511     0.00     0.00  SingleSpectrumHeader::scanMgfSpectrumHeader(_IO_FILE*, Config const*)
  9.69     54.60     6.89   342506     0.00     0.00  SpectraFile::readMgfPeakList(_IO_FILE*, SingleSpectrumHeader const*, Peak*, Config const*) const
  4.70     57.94     3.34      444     0.01     0.01  MsClusterAlgorithm::performFirstRoundSpectraComparisons()
  2.45     59.68     1.74   342506     0.00     0.00  Cluster::selectDistancePeaksAndTopIdxs()
  2.13     61.20     1.52    54192     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, long>(__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, __gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, long)
  1.84     62.51     1.31      120     0.01     0.02  MsClusterAlgorithm::performSpectraComparisons(int, unsigned long, unsigned long)
  1.81     63.80     1.29   396698     0.00     0.00  PeakList::joinAdjacentPeaks(float, bool)
  1.67     64.99     1.19    54192     0.00     0.00  MsClusterDataStorage::makeConsensusForSmallCluster(Cluster*, SingleSpectrumHeader*, bool)
  1.37     65.96     0.98   338015     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, long>(__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, __gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, long)
  1.35     66.92     0.96   342506     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<IndexIntensityPair*, std::vector<IndexIntensityPair, std::allocator<IndexIntensityPair> > >, long>(__gnu_cxx::__normal_iterator<IndexIntensityPair*, std::vector<IndexIntensityPair, std::allocator<IndexIntensityPair> > >, __gnu_cxx::__normal_iterator<IndexIntensityPair*, std::vector<IndexIntensityPair, std::allocator<IndexIntensityPair> > >, long)
  0.76     67.46     0.54      444     0.00     0.00  MsClusterDataStorage::makeListOfSimilarities(unsigned long, unsigned long, unsigned long, unsigned long, float)
  0.73     67.98     0.52   233004     0.00     0.00  MsClusterDataStorage::selectDistancePeaksFromMultipleSigneltons(Cluster*)
  0.44     68.29     0.31   575510     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long>(__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, __gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long)
  0.31     68.51     0.22   342506     0.00     0.00  PeakList::initializePeakList(Config const*, bool)
  0.30     68.72     0.21      444     0.00     0.00  void std::sort<__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > > >(__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, __gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >)
  0.25     68.90     0.18     1128     0.00     0.00  DatFile::readDatSpectraToStorage(Config const*, std::vector<DatSpectrumStats, std::allocator<DatSpectrumStats> > const&, int, SingleSpectrumHeader*, Peak*, unsigned long&, unsigned long&, unsigned long, unsigned long)
  0.25     69.08     0.18                             DatFileWriter::convertDataToDatFirstPass(MsParameterStruct const*)
  0.22     69.24     0.16   342506     0.00     0.00  PeakList::writeToDatBuffer(char*, SingleSpectrumHeader const*) const
  0.20     69.38     0.14   342506     0.00     0.00  SpectraFile::readPeakList(_IO_FILE*, SingleSpectrumHeader const*, Peak*, Config const*) const
  0.20     69.52     0.14   575510     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > > >(__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, __gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >)
  0.20     69.66     0.14    77080     0.00     0.00  MsClusterDataStorage::makeClusterMembersStringAndSelectTitleAndPeptide(unsigned int, std::basic_ostringstream<char, std::char_traits<char>, std::allocator<char> >&, char const*&, std::string&) const
  0.20     69.80     0.14    77080     0.00     0.00  PeakList::outputToMgfBuffer(char*, SingleSpectrumHeader const*) const
  0.18     69.93     0.13   233004     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long, bool (*)(DistancePeak const&, DistancePeak const&)>(__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, __gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, long, bool (*)(DistancePeak const&, DistancePeak const&)) [clone .constprop.523]
  0.17     70.05     0.12        7     0.02     0.02  std::vector<Peak, std::allocator<Peak> >::_M_fill_insert(__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, unsigned long, Peak const&)
  0.10     70.12     0.07  8825118     0.00     0.00  void std::__move_median_to_first<__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > > >(__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, __gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, __gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, __gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >)
  0.10     70.19     0.07        1     0.07     0.07  std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> >::_M_fill_insert(__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, unsigned long, ClusterPositionPair const&)
  0.10     70.26     0.07        1     0.07     0.07  std::vector<Cluster, std::allocator<Cluster> >::_M_fill_insert(__gnu_cxx::__normal_iterator<Cluster*, std::vector<Cluster, std::allocator<Cluster> > >, unsigned long, Cluster const&)
  0.10     70.33     0.07    14896     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, long>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, long)
  0.08     70.39     0.06   342506     0.00     0.00  Cluster::createNewCluster(unsigned int, SingleSpectrumHeader const*, Peak const*, int)
  0.08     70.45     0.06   338015     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > > >(__gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >, __gnu_cxx::__normal_iterator<ClusterPositionPair*, std::vector<ClusterPositionPair, std::allocator<ClusterPositionPair> > >)
  0.06     70.49     0.04   233004     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, bool (*)(DistancePeak const&, DistancePeak const&)>(__gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, __gnu_cxx::__normal_iterator<DistancePeak*, std::vector<DistancePeak, std::allocator<DistancePeak> > >, bool (*)(DistancePeak const&, DistancePeak const&)) [clone .constprop.535]
  0.06     70.53     0.04   233004     0.00     0.00  void std::__insertion_sort<DistancePeak*>(DistancePeak*, DistancePeak*)
  0.06     70.57     0.04    54192     0.00     0.00  Cluster::adjustMaxPossiblePeakCounts(std::vector<MassCount, std::allocator<MassCount> > const&, std::vector<MassCount, std::allocator<MassCount> > const&)
  0.06     70.61     0.04       30     0.00     0.30  MsClusterDataStorage::writeRegularClustersToOutput(unsigned long, unsigned long&, unsigned long&)
  0.05     70.64     0.04   962105     0.00     0.00  void std::__adjust_heap<__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, long, Peak>(__gnu_cxx::__normal_iterator<Peak*, std::vector<Peak, std::allocator<Peak> > >, long, long, Peak)
  0.04     70.67     0.03   342506     0.00     0.00  PeakList::readPeaksToBuffer(SpectraAggregator const&, SingleSpectrumHeader const*, Peak*)
  0.04     70.70     0.03   233004     0.00     0.00  void std::__introsort_loop<DistancePeak*, long>(DistancePeak*, DistancePeak*, long)
  0.04     70.73     0.03    54192     0.00     0.00  PeakList::sanityCheck() const
  0.04     70.76     0.03       30     0.00     0.29  MsClusterDataStorage::shiftStorage(unsigned long, float)
  0.04     70.79     0.03       30     0.00     0.40  MsClusterDataStorage::addNewSpectra(float, unsigned int*)
  0.04     70.82     0.03        5     0.01     1.45  SpectraFile::scanMgfFile(char const*, int, int, Config const*, bool)
  0.03     70.84     0.02   521695     0.00     0.00  MsSimilarityModel::computeMinSimilarityAllowed(unsigned long, unsigned long, double) const
  0.03     70.86     0.02   265426     0.00     0.00  MsClusterDataStorage::joinClusters(Cluster*, Cluster*, int)
  0.03     70.88     0.02   233004     0.00     0.00  Cluster::setAdjustedIntensities()
  0.03     70.90     0.02   193424     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > > >(__gnu_cxx::__normal_iterator<ClusterMemberEntry*, std::vector<ClusterMemberEntry, std::allocator<ClusterMemberEntry> > >)
  0.03     70.92     0.02      365     0.00     0.00  void std::__adjust_heap<__gnu_cxx::__normal_iterator<IndexIntensityPair*, std::vector<IndexIntensityPair, std::allocator<IndexIntensityPair> > >, long, IndexIntensityPair>(__gnu_cxx::__normal_iterator<IndexIntensityPair*, std::vector<IndexIntensityPair, std::allocator<IndexIntensityPair> > >, long, long, IndexIntensityPair)
  0.03     70.94     0.02       90     0.00     0.00  std::vector<SingleSpectrumHeader, std::allocator<SingleSpectrumHeader> >::_M_insert_aux(__gnu_cxx::__normal_iterator<SingleSpectrumHeader*, std::vector<SingleSpectrumHeader, std::allocator<SingleSpectrumHeader> > >, SingleSpectrumHeader const&)
