         41662604 function calls (40090220 primitive calls) in 230.319 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   273774  122.165    0.000  122.165    0.000 {method 'acquire' of '_thread.lock' objects}
    35841   23.165    0.001   23.165    0.001 {built-in method faiss._swigfaiss.IndexIDMap_search}
     6073   13.958    0.002   13.958    0.002 {built-in method faiss._swigfaiss.fvec_renorm_L2}
    62922    6.648    0.000    7.647    0.000 ffi.py:149(__call__)
    42519    5.769    0.000    5.769    0.000 {built-in method _thread.start_new_thread}
    18220    2.953    0.000    2.953    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
    36305    2.030    0.000   12.720    0.000 spectrum.py:60(process_spectrum)
    12148    1.912    0.000    3.366    0.000 synchronize.py:50(__init__)
    35938    1.193    0.000    4.177    0.000 spectrum.py:863(remove_precursor_peak)
    35875    1.190    0.000    3.131    0.000 spectrum.py:895(filter_intensity)
    35875    1.182    0.000    1.182    0.000 spectrum.py:385(_get_filter_intensity_mask)
    18406    1.006    0.000    1.006    0.000 {built-in method posix.write}
     6085    0.984    0.000   58.614    0.010 parallel.py:918(retrieve)
        6    0.914    0.152  191.977   31.996 cluster.py:99(_build_query_ann_index)
     6157    0.840    0.000    1.127    0.000 {built-in method _pickle.load}
459485/459445    0.778    0.000    0.779    0.000 {built-in method numpy.array}
     6098    0.775    0.000    2.253    0.000 context.py:169(_cpu_count_user)
    18580    0.750    0.000    0.818    0.000 {built-in method io.open}
5206465/5206458    0.716    0.000    0.949    0.000 {built-in method builtins.isinstance}
     1822    0.678    0.000    1.338    0.001 npyio.py:1200(savetxt)
    36305    0.676    0.000    2.161    0.000 spectrum.py:828(set_mz_range)
752898/135990    0.665    0.000    0.931    0.000 ir.py:313(_rec_list_vars)
     6073    0.597    0.000   33.064    0.005 cluster.py:228(_dist_mz_interval)
   108118    0.569    0.000    1.196    0.000 spectrum.py:736(mz)
    35841    0.567    0.000    0.567    0.000 cluster.py:288(_filter_neighbors_mz)
     6073    0.533    0.000   19.835    0.003 _parallel_backends.py:239(terminate)
    29426    0.527    0.000   69.792    0.002 parallel.py:796(dispatch_one_batch)
    84133    0.507    0.000    0.507    0.000 threading.py:222(__init__)
     6088    0.500    0.000    0.504    0.000 {built-in method builtins.eval}
    25448    0.473    0.000    0.676    0.000 functools.py:34(update_wrapper)
446886/446847    0.466    0.000    1.235    0.000 _asarray.py:23(asarray)
    12146    0.460    0.000    3.940    0.000 context.py:65(Lock)
597794/305367    0.445    0.000    1.285    0.000 {method 'format' of 'str' objects}
    42520    0.436    0.000    1.113    0.000 threading.py:761(__init__)
