Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Instructions Retired	Microarchitecture Usage(%)	Microarchitecture Usage:Microarchitecture Usage(%)	Microarchitecture Usage:CPI Rate	Module	Function (Full)	Source File	Start Address
Core::LSH::random_projection	192.056260	192.056260	0.0	86.164916	85.094296	20.797048	0.0	0.0	0.0	738128000000	43.7	43.7	0.880433	mscrush_on_general_charge	Core::LSH::random_projection(std::vector<Core::EmbededPeak, std::allocator<Core::EmbededPeak>> const&, std::vector<std::vector<float, std::allocator<float>>, std::allocator<std::vector<float, std::allocator<float>>>> const&, bool)	[Unknown]	0x40e790
__GI_____strtoll_l_internal	127.849064	127.849064	54.421527	73.427537	0.0	0.0	0.0	0.0	0.0	779632000000	68.0	68.0	0.557494	libc-2.17.so	__GI_____strtoll_l_internal	[Unknown]	0x3b000
Utility::IO::ReadSpectraFromMGF	36.816328	36.816328	16.209390	20.606938	0.0	0.0	0.0	0.0	0.0	153616000000	48.7	48.7	0.811061	mscrush_on_general_charge	Utility::IO::ReadSpectraFromMGF(std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>>*, std::unordered_map<int, std::vector<int, std::allocator<int>>, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, std::vector<int, std::allocator<int>>>>>*, std::unordered_map<std::string, int, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string const, int>>>*, int*, std::string, float, float, float, float, int, int, bool, bool, bool)	[Unknown]	0x40af20
func@0x18ad0	36.441111	36.441111	0.0	27.525946	8.915165	0.0	0.0	0.0	0.0	46704000000	32.9	32.9	2.696471	libgomp.so.1.0.0	func@0x18ad0	[Unknown]	0x18ad0
std::string::find	35.110340	35.110340	15.133767	19.976573	0.0	0.0	0.0	0.0	0.0	178192000000	61.7	61.7	0.672353	libstdc++.so.6.0.19	std::string::find(char const*, unsigned long, unsigned long) const	[Unknown]	0xbd2e0
std::getline<char, std::char_traits<char>, std::allocator<char>>	23.398555	23.398555	10.055825	13.342730	0.0	0.0	0.0	0.0	0.0	87392000000	49.9	49.9	0.875137	libstdc++.so.6.0.19	std::basic_istream<char, std::char_traits<char>>& std::getline<char, std::char_traits<char>, std::allocator<char>>(std::basic_istream<char, std::char_traits<char>>&, std::basic_string<char, std::char_traits<char>, std::allocator<char>>&, char)	[Unknown]	0x767b0
__logf_finite	22.748178	22.748178	9.865715	12.882463	0.0	0.0	0.0	0.0	0.0	63904000000	37.3	37.3	1.194291	libm-2.17.so	__logf_finite	[Unknown]	0x2d3d0
func@0x18c30	22.713158	22.713158	0.0	21.542480	1.165675	0.005003	0.0	0.0	0.0	29456000000	34.0	34.0	2.651820	libgomp.so.1.0.0	func@0x18c30	[Unknown]	0x18c30
Utility::IO::BinTopKPeak	15.839176	15.839176	6.473750	9.365425	0.0	0.0	0.0	0.0	0.0	47088000000	33.8	33.8	1.187224	mscrush_on_general_charge	Utility::IO::BinTopKPeak(std::vector<Core::Peak, std::allocator<Core::Peak>>*, std::vector<Core::Peak, std::allocator<Core::Peak>> const&, int, int, float)	[Unknown]	0x4097a0
p_cluster	13.292701	13.292701	0.010006	13.242672	0.040023	0.0	0.0	0.0	0.0	16304000000	14.9	14.9	2.774289	mscrush_on_general_charge	p_cluster(std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>>*, Core::HyperParams*, char, std::vector<std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>>, std::allocator<std::vector<Core::Spectrum*, std::allocator<Core::Spectrum*>>>>*, int, int, float)	[Unknown]	0x40fe70
